datetime,throttle
2023-08-13 14:13:06.2,-90
2023-08-13 14:13:06.5,-80
2023-08-13 14:13:06.8,-70
2023-08-13 14:13:07.1,-60
2023-08-13 14:13:07.3,-50
2023-08-13 14:13:07.6,-40
2023-08-13 14:13:07.9,-30
2023-08-13 14:13:08.2,-20
2023-08-13 14:13:08.5,-10
2023-08-13 14:13:08.7,0
2023-08-13 14:13:09.0,10
2023-08-13 14:13:09.3,20
2023-08-13 14:13:09.6,30
2023-08-13 14:13:09.8,40
2023-08-13 14:13:10.1,50
2023-08-13 14:13:10.4,60
2023-08-13 14:13:10.7,50
2023-08-13 14:13:11.0,40
2023-08-13 14:13:11.2,50
2023-08-13 14:13:11.5,40
2023-08-13 14:13:11.8,30
2023-08-13 14:13:12.1,40
2023-08-13 14:13:12.4,30
2023-08-13 14:13:12.6,20
2023-08-13 14:13:12.9,10
2023-08-13 14:13:13.2,0
2023-08-13 14:13:13.5,-10
2023-08-13 14:13:13.7,0
2023-08-13 14:13:14.0,-10
2023-08-13 14:13:14.3,-20
2023-08-13 14:13:14.6,-10
2023-08-13 14:13:14.8,-20
2023-08-13 14:13:15.1,-30
2023-08-13 14:13:15.4,-40
2023-08-13 14:13:15.7,-50
2023-08-13 14:13:16.0,-60
2023-08-13 14:13:16.2,-70
2023-08-13 14:13:16.5,-80
2023-08-13 14:13:16.8,-90
2023-08-13 14:13:17.1,-100
2023-08-13 14:13:17.3,-90
2023-08-13 14:13:17.6,-80
2023-08-13 14:13:17.9,-70
2023-08-13 14:13:18.2,-60
2023-08-13 14:13:18.4,-50
2023-08-13 14:13:18.7,-40
2023-08-13 14:13:19.0,-30
2023-08-13 14:13:19.3,-20
2023-08-13 14:13:19.5,-10
2023-08-13 14:13:19.8,0
2023-08-13 14:13:20.1,10
2023-08-13 14:13:20.4,20
2023-08-13 14:13:20.6,30
2023-08-13 14:13:20.9,40
2023-08-13 14:13:21.2,50
2023-08-13 14:13:21.5,60
2023-08-13 14:13:21.8,50
2023-08-13 14:13:22.0,40
2023-08-13 14:13:22.3,50
2023-08-13 14:13:22.6,40
2023-08-13 14:13:22.9,30
2023-08-13 14:13:23.2,40
2023-08-13 14:13:23.4,30
2023-08-13 14:13:23.7,20
2023-08-13 14:13:24.0,10
2023-08-13 14:13:24.3,0
2023-08-13 14:13:24.6,-10
2023-08-13 14:13:24.8,0
2023-08-13 14:13:25.1,-10
2023-08-13 14:13:25.4,-20
2023-08-13 14:13:25.7,-10
2023-08-13 14:13:26.0,-20
2023-08-13 14:13:26.2,-30
2023-08-13 14:13:26.5,-40
2023-08-13 14:13:26.8,-50
2023-08-13 14:13:27.1,-60
2023-08-13 14:13:27.4,-70
2023-08-13 14:13:27.6,-80
2023-08-13 14:13:27.9,-90
2023-08-13 14:13:28.2,-100
2023-08-13 14:13:28.5,-90
2023-08-13 14:13:28.8,-80
2023-08-13 14:13:29.0,-70
2023-08-13 14:13:29.3,-60
2023-08-13 14:13:29.6,-50
2023-08-13 14:13:29.9,-40
2023-08-13 14:13:30.1,-30
2023-08-13 14:13:30.4,-20
2023-08-13 14:13:30.7,-10
2023-08-13 14:13:31.0,0
2023-08-13 14:13:31.2,10
2023-08-13 14:13:31.5,20
2023-08-13 14:13:31.8,30
2023-08-13 14:13:32.1,40
2023-08-13 14:13:32.4,50
2023-08-13 14:13:32.6,60
2023-08-13 14:13:32.9,50
2023-08-13 14:13:33.2,40
2023-08-13 14:13:33.4,50
2023-08-13 14:13:33.7,40
2023-08-13 14:13:34.0,30
2023-08-13 14:13:34.3,40
2023-08-13 14:13:34.6,30
2023-08-13 14:13:34.8,20
2023-08-13 14:13:35.1,10
2023-08-13 14:13:35.4,0
2023-08-13 14:13:35.7,-10
2023-08-13 14:13:35.9,0
2023-08-13 14:13:36.2,-10
2023-08-13 14:13:36.5,-20
2023-08-13 14:13:36.8,-10
2023-08-13 14:13:37.1,-20
2023-08-13 14:13:37.3,-30
2023-08-13 14:13:37.6,-40
2023-08-13 14:13:37.9,-50
2023-08-13 14:13:38.2,-60
2023-08-13 14:13:38.4,-70
2023-08-13 14:13:38.7,-80
2023-08-13 14:13:39.0,-90
2023-08-13 14:13:39.3,-100
2023-08-13 14:13:39.5,-100
2023-08-13 14:13:39.6,-90
2023-08-13 14:13:39.9,-80
2023-08-13 14:13:40.2,-70
2023-08-13 14:13:40.5,-60
2023-08-13 14:13:40.7,-50
2023-08-13 14:13:41.0,-40
2023-08-13 14:13:41.3,-30
2023-08-13 14:13:41.6,-20
2023-08-13 14:13:41.8,-10
2023-08-13 14:13:42.1,0
2023-08-13 14:13:42.4,10
2023-08-13 14:13:42.7,20
2023-08-13 14:13:42.9,30
2023-08-13 14:13:43.2,40
2023-08-13 14:13:43.5,50
2023-08-13 14:13:43.8,60
2023-08-13 14:13:44.0,50
2023-08-13 14:13:44.3,40
2023-08-13 14:13:44.6,50
2023-08-13 14:13:44.9,40
2023-08-13 14:13:45.1,30
2023-08-13 14:13:45.4,40
2023-08-13 14:13:45.7,30
2023-08-13 14:13:46.0,20
2023-08-13 14:13:46.2,10
2023-08-13 14:13:46.5,0
2023-08-13 14:13:46.8,-10
2023-08-13 14:13:47.1,0
2023-08-13 14:13:47.3,-10
2023-08-13 14:13:47.6,-20
2023-08-13 14:13:47.9,-10
2023-08-13 14:13:48.2,-20
2023-08-13 14:13:48.4,-30
2023-08-13 14:13:48.7,-40
2023-08-13 14:13:49.0,-50
2023-08-13 14:13:49.3,-60
2023-08-13 14:13:49.5,-70
2023-08-13 14:13:49.8,-80
2023-08-13 14:13:50.1,-90
2023-08-13 14:13:50.4,-100
2023-08-13 14:13:50.7,-100
2023-08-13 14:13:50.7,-90
2023-08-13 14:13:51.0,-80
